Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
2020-02-02,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-03,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-04,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-05,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-06,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-07,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-08,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-09,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-10,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-11,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-12,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-13,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-14,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-15,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-16,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-17,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-18,IR,Iran (Islamic Republic of),EMRO,0,0,0,0
2020-02-19,IR,Iran (Islamic Republic of),EMRO,6,6,0,0
2020-02-20,IR,Iran (Islamic Republic of),EMRO,3,9,2,2
2020-02-21,IR,Iran (Islamic Republic of),EMRO,13,22,0,2
2020-02-22,IR,Iran (Islamic Republic of),EMRO,10,32,2,4
2020-02-23,IR,Iran (Islamic Republic of),EMRO,15,47,1,5
2020-02-24,IR,Iran (Islamic Republic of),EMRO,4,51,3,8
2020-02-25,IR,Iran (Islamic Republic of),EMRO,48,99,4,12
2020-02-26,IR,Iran (Islamic Republic of),EMRO,44,143,3,15
2020-02-27,IR,Iran (Islamic Republic of),EMRO,0,143,7,22
2020-02-28,IR,Iran (Islamic Republic of),EMRO,249,392,12,34
2020-02-29,IR,Iran (Islamic Republic of),EMRO,0,392,9,43
2020-03-01,IR,Iran (Islamic Republic of),EMRO,205,597,0,43
2020-03-02,IR,Iran (Islamic Republic of),EMRO,0,597,11,54
2020-03-03,IR,Iran (Islamic Republic of),EMRO,908,1505,23,77
2020-03-04,IR,Iran (Islamic Republic of),EMRO,1421,2926,15,92
2020-03-05,IR,Iran (Islamic Republic of),EMRO,591,3517,15,107
2020-03-06,IR,Iran (Islamic Republic of),EMRO,1234,4751,17,124
2020-03-07,IR,Iran (Islamic Republic of),EMRO,1076,5827,21,145
2020-03-08,IR,Iran (Islamic Republic of),EMRO,743,6570,49,194
2020-03-09,IR,Iran (Islamic Republic of),EMRO,595,7165,43,237
2020-03-10,IR,Iran (Islamic Republic of),EMRO,881,8046,54,291
2020-03-11,IR,Iran (Islamic Republic of),EMRO,958,9004,63,354
2020-03-12,IR,Iran (Islamic Republic of),EMRO,1075,10079,75,429
2020-03-13,IR,Iran (Islamic Republic of),EMRO,1289,11368,85,514
2020-03-14,IR,Iran (Islamic Republic of),EMRO,1365,12733,94,608
2020-03-15,IR,Iran (Islamic Republic of),EMRO,1254,13987,116,724
2020-03-16,IR,Iran (Islamic Republic of),EMRO,1008,14995,129,853
2020-03-17,IR,Iran (Islamic Republic of),EMRO,1178,16173,135,988
2020-03-18,IR,Iran (Islamic Republic of),EMRO,1192,17365,147,1135
2020-03-19,IR,Iran (Islamic Republic of),EMRO,1046,18411,149,1284
2020-03-20,IR,Iran (Islamic Republic of),EMRO,1233,19644,149,1433
2020-03-21,IR,Iran (Islamic Republic of),EMRO,966,20610,123,1556
2020-03-22,IR,Iran (Islamic Republic of),EMRO,1028,21638,129,1685
2020-03-23,IR,Iran (Islamic Republic of),EMRO,1411,23049,127,1812
2020-03-24,IR,Iran (Islamic Republic of),EMRO,1762,24811,122,1934
2020-03-25,IR,Iran (Islamic Republic of),EMRO,2206,27017,143,2077
2020-03-26,IR,Iran (Islamic Republic of),EMRO,2389,29406,157,2234
2020-03-27,IR,Iran (Islamic Republic of),EMRO,2926,32332,144,2378
2020-03-28,IR,Iran (Islamic Republic of),EMRO,3076,35408,139,2517
2020-03-29,IR,Iran (Islamic Republic of),EMRO,2901,38309,123,2640
2020-03-30,IR,Iran (Islamic Republic of),EMRO,3186,41495,117,2757
2020-03-31,IR,Iran (Islamic Republic of),EMRO,3111,44606,141,2898
2020-04-01,IR,Iran (Islamic Republic of),EMRO,2987,47593,138,3036
2020-04-02,IR,Iran (Islamic Republic of),EMRO,2875,50468,124,3160
2020-04-03,IR,Iran (Islamic Republic of),EMRO,2715,53183,134,3294
2020-04-04,IR,Iran (Islamic Republic of),EMRO,2560,55743,158,3452
2020-04-05,IR,Iran (Islamic Republic of),EMRO,0,55743,0,3452
2020-04-06,IR,Iran (Islamic Republic of),EMRO,2483,58226,151,3603
2020-04-07,IR,Iran (Islamic Republic of),EMRO,2274,60500,136,3739
2020-04-08,IR,Iran (Islamic Republic of),EMRO,2089,62589,133,3872
2020-04-09,IR,Iran (Islamic Republic of),EMRO,1997,64586,121,3993
2020-04-10,IR,Iran (Islamic Republic of),EMRO,1634,66220,117,4110
2020-04-11,IR,Iran (Islamic Republic of),EMRO,1972,68192,122,4232
2020-04-12,IR,Iran (Islamic Republic of),EMRO,1837,70029,125,4357
2020-04-13,IR,Iran (Islamic Republic of),EMRO,1657,71686,117,4474
2020-04-14,IR,Iran (Islamic Republic of),EMRO,1617,73303,111,4585
2020-04-15,IR,Iran (Islamic Republic of),EMRO,1574,74877,98,4683
2020-04-16,IR,Iran (Islamic Republic of),EMRO,1512,76389,94,4777
2020-04-17,IR,Iran (Islamic Republic of),EMRO,1606,77995,92,4869
2020-04-18,IR,Iran (Islamic Republic of),EMRO,1499,79494,89,4958
2020-04-19,IR,Iran (Islamic Republic of),EMRO,1374,80868,73,5031
2020-04-20,IR,Iran (Islamic Republic of),EMRO,1343,82211,87,5118
2020-04-21,IR,Iran (Islamic Republic of),EMRO,1294,83505,91,5209
2020-04-22,IR,Iran (Islamic Republic of),EMRO,1297,84802,88,5297
2020-04-23,IR,Iran (Islamic Republic of),EMRO,1194,85996,94,5391
2020-04-24,IR,Iran (Islamic Republic of),EMRO,1030,87026,90,5481
2020-04-25,IR,Iran (Islamic Republic of),EMRO,1168,88194,93,5574
2020-04-26,IR,Iran (Islamic Republic of),EMRO,1134,89328,76,5650
2020-04-27,IR,Iran (Islamic Republic of),EMRO,1153,90481,60,5710
2020-04-28,IR,Iran (Islamic Republic of),EMRO,991,91472,96,5806
2020-04-29,IR,Iran (Islamic Republic of),EMRO,1112,92584,71,5877
2020-04-30,IR,Iran (Islamic Republic of),EMRO,1073,93657,80,5957
2020-05-01,IR,Iran (Islamic Republic of),EMRO,983,94640,71,6028
2020-05-02,IR,Iran (Islamic Republic of),EMRO,1006,95646,63,6091
2020-05-03,IR,Iran (Islamic Republic of),EMRO,802,96448,65,6156
2020-05-04,IR,Iran (Islamic Republic of),EMRO,976,97424,47,6203
2020-05-05,IR,Iran (Islamic Republic of),EMRO,1223,98647,74,6277
2020-05-06,IR,Iran (Islamic Republic of),EMRO,1323,99970,63,6340
2020-05-07,IR,Iran (Islamic Republic of),EMRO,1680,101650,78,6418
2020-05-08,IR,Iran (Islamic Republic of),EMRO,1485,103135,68,6486
2020-05-09,IR,Iran (Islamic Republic of),EMRO,1556,104691,55,6541
2020-05-10,IR,Iran (Islamic Republic of),EMRO,1529,106220,48,6589
2020-05-11,IR,Iran (Islamic Republic of),EMRO,1383,107603,51,6640
2020-05-12,IR,Iran (Islamic Republic of),EMRO,1683,109286,45,6685
2020-05-13,IR,Iran (Islamic Republic of),EMRO,1481,110767,48,6733
2020-05-14,IR,Iran (Islamic Republic of),EMRO,1958,112725,50,6783
2020-05-15,IR,Iran (Islamic Republic of),EMRO,1808,114533,71,6854
2020-05-16,IR,Iran (Islamic Republic of),EMRO,2102,116635,48,6902
2020-05-17,IR,Iran (Islamic Republic of),EMRO,1757,118392,35,6937
2020-05-18,IR,Iran (Islamic Republic of),EMRO,1806,120198,51,6988
2020-05-19,IR,Iran (Islamic Republic of),EMRO,2294,122492,69,7057
2020-05-20,IR,Iran (Islamic Republic of),EMRO,2111,124603,62,7119
2020-05-21,IR,Iran (Islamic Republic of),EMRO,2346,126949,64,7183
2020-05-22,IR,Iran (Islamic Republic of),EMRO,2392,129341,66,7249
2020-05-23,IR,Iran (Islamic Republic of),EMRO,2311,131652,51,7300
2020-05-24,IR,Iran (Islamic Republic of),EMRO,1869,133521,59,7359
2020-05-25,IR,Iran (Islamic Republic of),EMRO,2180,135701,58,7417
2020-05-26,IR,Iran (Islamic Republic of),EMRO,2023,137724,34,7451
2020-05-27,IR,Iran (Islamic Republic of),EMRO,1787,139511,57,7508
2020-05-28,IR,Iran (Islamic Republic of),EMRO,2080,141591,56,7564
2020-05-29,IR,Iran (Islamic Republic of),EMRO,2258,143849,63,7627
2020-05-30,IR,Iran (Islamic Republic of),EMRO,2819,146668,50,7677
2020-05-31,IR,Iran (Islamic Republic of),EMRO,2282,148950,57,7734
2020-06-01,IR,Iran (Islamic Republic of),EMRO,2516,151466,63,7797
2020-06-02,IR,Iran (Islamic Republic of),EMRO,2979,154445,81,7878
2020-06-03,IR,Iran (Islamic Republic of),EMRO,3117,157562,64,7942
2020-06-04,IR,Iran (Islamic Republic of),EMRO,3134,160696,70,8012
2020-06-05,IR,Iran (Islamic Republic of),EMRO,3574,164270,59,8071
2020-06-06,IR,Iran (Islamic Republic of),EMRO,2886,167156,63,8134
2020-06-07,IR,Iran (Islamic Republic of),EMRO,2269,169425,75,8209
2020-06-08,IR,Iran (Islamic Republic of),EMRO,2364,171789,72,8281
2020-06-09,IR,Iran (Islamic Republic of),EMRO,2043,173832,70,8351
2020-06-10,IR,Iran (Islamic Republic of),EMRO,2095,175927,74,8425
2020-06-11,IR,Iran (Islamic Republic of),EMRO,2011,177938,81,8506
2020-06-12,IR,Iran (Islamic Republic of),EMRO,2238,180176,78,8584
2020-06-13,IR,Iran (Islamic Republic of),EMRO,2369,182545,75,8659
2020-06-14,IR,Iran (Islamic Republic of),EMRO,2410,184955,71,8730
2020-06-15,IR,Iran (Islamic Republic of),EMRO,2472,187427,107,8837
2020-06-16,IR,Iran (Islamic Republic of),EMRO,2449,189876,113,8950
2020-06-17,IR,Iran (Islamic Republic of),EMRO,2563,192439,115,9065
2020-06-18,IR,Iran (Islamic Republic of),EMRO,2612,195051,120,9185
2020-06-19,IR,Iran (Islamic Republic of),EMRO,2596,197647,87,9272
2020-06-20,IR,Iran (Islamic Republic of),EMRO,2615,200262,120,9392
2020-06-21,IR,Iran (Islamic Republic of),EMRO,2322,202584,115,9507
2020-06-22,IR,Iran (Islamic Republic of),EMRO,2368,204952,116,9623
2020-06-23,IR,Iran (Islamic Republic of),EMRO,2573,207525,119,9742
2020-06-24,IR,Iran (Islamic Republic of),EMRO,2445,209970,121,9863
2020-06-25,IR,Iran (Islamic Republic of),EMRO,2531,212501,133,9996
2020-06-26,IR,Iran (Islamic Republic of),EMRO,2595,215096,134,10130
2020-06-27,IR,Iran (Islamic Republic of),EMRO,2628,217724,109,10239
2020-06-28,IR,Iran (Islamic Republic of),EMRO,2456,220180,125,10364
2020-06-29,IR,Iran (Islamic Republic of),EMRO,2489,222669,144,10508
2020-06-30,IR,Iran (Islamic Republic of),EMRO,2536,225205,162,10670
2020-07-01,IR,Iran (Islamic Republic of),EMRO,2457,227662,147,10817
2020-07-02,IR,Iran (Islamic Republic of),EMRO,2549,230211,141,10958
2020-07-03,IR,Iran (Islamic Republic of),EMRO,2652,232863,148,11106
2020-07-04,IR,Iran (Islamic Republic of),EMRO,2566,235429,154,11260
2020-07-05,IR,Iran (Islamic Republic of),EMRO,2449,237878,148,11408
2020-07-06,IR,Iran (Islamic Republic of),EMRO,2560,240438,163,11571
2020-07-07,IR,Iran (Islamic Republic of),EMRO,2613,243051,160,11731
2020-07-08,IR,Iran (Islamic Republic of),EMRO,2637,245688,200,11931
2020-07-09,IR,Iran (Islamic Republic of),EMRO,2691,248379,153,12084
2020-07-10,IR,Iran (Islamic Republic of),EMRO,2079,250458,221,12305
2020-07-11,IR,Iran (Islamic Republic of),EMRO,2262,252720,142,12447
2020-07-12,IR,Iran (Islamic Republic of),EMRO,2397,255117,188,12635
2020-07-13,IR,Iran (Islamic Republic of),EMRO,2186,257303,194,12829
2020-07-14,IR,Iran (Islamic Republic of),EMRO,2349,259652,203,13032
2020-07-15,IR,Iran (Islamic Republic of),EMRO,2521,262173,179,13211
2020-07-16,IR,Iran (Islamic Republic of),EMRO,2388,264561,199,13410
2020-07-17,IR,Iran (Islamic Republic of),EMRO,2500,267061,198,13608
2020-07-18,IR,Iran (Islamic Republic of),EMRO,2379,269440,183,13791
2020-07-19,IR,Iran (Islamic Republic of),EMRO,2166,271606,188,13979
2020-07-20,IR,Iran (Islamic Republic of),EMRO,2182,273788,209,14188
2020-07-21,IR,Iran (Islamic Republic of),EMRO,2414,276202,217,14405
2020-07-22,IR,Iran (Islamic Republic of),EMRO,2625,278827,229,14634
2020-07-23,IR,Iran (Islamic Republic of),EMRO,2586,281413,219,14853
2020-07-24,IR,Iran (Islamic Republic of),EMRO,2621,284034,221,15074
2020-07-25,IR,Iran (Islamic Republic of),EMRO,2489,286523,215,15289
2020-07-26,IR,Iran (Islamic Republic of),EMRO,2316,288839,195,15484
2020-07-27,IR,Iran (Islamic Republic of),EMRO,2333,291172,216,15700
2020-07-28,IR,Iran (Islamic Republic of),EMRO,2434,293606,212,15912
2020-07-29,IR,Iran (Islamic Republic of),EMRO,2667,296273,235,16147
2020-07-30,IR,Iran (Islamic Republic of),EMRO,2636,298909,196,16343
2020-07-31,IR,Iran (Islamic Republic of),EMRO,2621,301530,226,16569
2020-08-01,IR,Iran (Islamic Republic of),EMRO,2674,304204,197,16766
2020-08-02,IR,Iran (Islamic Republic of),EMRO,2548,306752,216,16982
2020-08-03,IR,Iran (Islamic Republic of),EMRO,2685,309437,208,17190
2020-08-04,IR,Iran (Islamic Republic of),EMRO,2598,312035,215,17405
2020-08-05,IR,Iran (Islamic Republic of),EMRO,2751,314786,212,17617
2020-08-06,IR,Iran (Islamic Republic of),EMRO,2697,317483,185,17802
2020-08-07,IR,Iran (Islamic Republic of),EMRO,2634,320117,174,17976
2020-08-08,IR,Iran (Islamic Republic of),EMRO,2450,322567,156,18132
2020-08-09,IR,Iran (Islamic Republic of),EMRO,2125,324692,132,18264
2020-08-10,IR,Iran (Islamic Republic of),EMRO,2020,326712,163,18427
2020-08-11,IR,Iran (Islamic Republic of),EMRO,2132,328844,189,18616
2020-08-12,IR,Iran (Islamic Republic of),EMRO,2345,331189,184,18800
2020-08-13,IR,Iran (Islamic Republic of),EMRO,2510,333699,188,18988
2020-08-14,IR,Iran (Islamic Republic of),EMRO,2625,336324,174,19162
2020-08-15,IR,Iran (Islamic Republic of),EMRO,2501,338825,169,19331
2020-08-16,IR,Iran (Islamic Republic of),EMRO,2245,341070,161,19492
2020-08-17,IR,Iran (Islamic Republic of),EMRO,2133,343203,147,19639
2020-08-18,IR,Iran (Islamic Republic of),EMRO,2247,345450,165,19804
2020-08-19,IR,Iran (Islamic Republic of),EMRO,2385,347835,168,19972
2020-08-20,IR,Iran (Islamic Republic of),EMRO,2444,350279,153,20125
2020-08-21,IR,Iran (Islamic Republic of),EMRO,2279,352558,139,20264
2020-08-22,IR,Iran (Islamic Republic of),EMRO,2206,354764,112,20376
2020-08-23,IR,Iran (Islamic Republic of),EMRO,2028,356792,126,20502
2020-08-24,IR,Iran (Islamic Republic of),EMRO,2113,358905,141,20643
2020-08-25,IR,Iran (Islamic Republic of),EMRO,2245,361150,133,20776
2020-08-26,IR,Iran (Islamic Republic of),EMRO,2213,363363,125,20901
2020-08-27,IR,Iran (Islamic Republic of),EMRO,2243,365606,119,21020
2020-08-28,IR,Iran (Islamic Republic of),EMRO,2190,367796,117,21137
2020-08-29,IR,Iran (Islamic Republic of),EMRO,2115,369911,112,21249
2020-08-30,IR,Iran (Islamic Republic of),EMRO,1905,371816,110,21359
2020-08-31,IR,Iran (Islamic Republic of),EMRO,1754,373570,103,21462
2020-09-01,IR,Iran (Islamic Republic of),EMRO,1642,375212,109,21571
2020-09-02,IR,Iran (Islamic Republic of),EMRO,1682,376894,101,21672
2020-09-03,IR,Iran (Islamic Republic of),EMRO,1858,378752,125,21797
2020-09-04,IR,Iran (Islamic Republic of),EMRO,1994,380746,129,21926
2020-09-05,IR,Iran (Islamic Republic of),EMRO,2026,382772,118,22044
2020-09-06,IR,Iran (Islamic Republic of),EMRO,1894,384666,110,22154
2020-09-07,IR,Iran (Islamic Republic of),EMRO,1992,386658,139,22293
2020-09-08,IR,Iran (Islamic Republic of),EMRO,2152,388810,117,22410
2020-09-09,IR,Iran (Islamic Republic of),EMRO,2302,391112,132,22542
2020-09-10,IR,Iran (Islamic Republic of),EMRO,2313,393425,127,22669
2020-09-11,IR,Iran (Islamic Republic of),EMRO,2063,395488,129,22798
2020-09-12,IR,Iran (Islamic Republic of),EMRO,2313,397801,115,22913
2020-09-13,IR,Iran (Islamic Republic of),EMRO,2139,399940,116,23029
2020-09-14,IR,Iran (Islamic Republic of),EMRO,2089,402029,128,23157
2020-09-15,IR,Iran (Islamic Republic of),EMRO,2619,404648,156,23313
2020-09-16,IR,Iran (Islamic Republic of),EMRO,2705,407353,140,23453
2020-09-17,IR,Iran (Islamic Republic of),EMRO,2981,410334,179,23632
2020-09-18,IR,Iran (Islamic Republic of),EMRO,2815,413149,176,23808
2020-09-19,IR,Iran (Islamic Republic of),EMRO,3049,416198,144,23952
2020-09-20,IR,Iran (Islamic Republic of),EMRO,2845,419043,166,24118
2020-09-21,IR,Iran (Islamic Republic of),EMRO,3097,422140,183,24301
2020-09-22,IR,Iran (Islamic Republic of),EMRO,3341,425481,177,24478
2020-09-23,IR,Iran (Islamic Republic of),EMRO,3712,429193,178,24656
2020-09-24,IR,Iran (Islamic Republic of),EMRO,3605,432798,184,24840
2020-09-25,IR,Iran (Islamic Republic of),EMRO,3521,436319,175,25015
2020-09-26,IR,Iran (Islamic Republic of),EMRO,3563,439882,207,25222
2020-09-27,IR,Iran (Islamic Republic of),EMRO,3204,443086,172,25394
2020-09-28,IR,Iran (Islamic Republic of),EMRO,3362,446448,195,25589
2020-09-29,IR,Iran (Islamic Republic of),EMRO,3512,449960,190,25779
2020-09-30,IR,Iran (Islamic Republic of),EMRO,3677,453637,207,25986
2020-10-01,IR,Iran (Islamic Republic of),EMRO,3582,457219,183,26169
2020-10-02,IR,Iran (Islamic Republic of),EMRO,3825,461044,211,26380
2020-10-03,IR,Iran (Islamic Republic of),EMRO,3552,464596,187,26567
2020-10-04,IR,Iran (Islamic Republic of),EMRO,3523,468119,179,26746
2020-10-05,IR,Iran (Islamic Republic of),EMRO,3653,471772,211,26957
2020-10-06,IR,Iran (Islamic Republic of),EMRO,3902,475674,235,27192
2020-10-07,IR,Iran (Islamic Republic of),EMRO,4151,479825,227,27419
2020-10-08,IR,Iran (Islamic Republic of),EMRO,4019,483844,239,27658
2020-10-09,IR,Iran (Islamic Republic of),EMRO,4392,488236,230,27888
2020-10-10,IR,Iran (Islamic Republic of),EMRO,4142,492378,210,28098
2020-10-11,IR,Iran (Islamic Republic of),EMRO,3875,496253,195,28293
2020-10-12,IR,Iran (Islamic Republic of),EMRO,3822,500075,251,28544
2020-10-13,IR,Iran (Islamic Republic of),EMRO,4206,504281,272,28816
2020-10-14,IR,Iran (Islamic Republic of),EMRO,4108,508389,254,29070
2020-10-15,IR,Iran (Islamic Republic of),EMRO,4830,513219,279,29349
2020-10-16,IR,Iran (Islamic Republic of),EMRO,4616,517835,256,29605
2020-10-17,IR,Iran (Islamic Republic of),EMRO,4552,522387,265,29870
2020-10-18,IR,Iran (Islamic Republic of),EMRO,4103,526490,253,30123
2020-10-19,IR,Iran (Islamic Republic of),EMRO,3890,530380,252,30375
2020-10-20,IR,Iran (Islamic Republic of),EMRO,4251,534631,337,30712
2020-10-21,IR,Iran (Islamic Republic of),EMRO,5039,539670,322,31034
2020-10-22,IR,Iran (Islamic Republic of),EMRO,5616,545286,312,31346
2020-10-23,IR,Iran (Islamic Republic of),EMRO,5471,550757,304,31650
2020-10-24,IR,Iran (Islamic Republic of),EMRO,6134,556891,335,31985
2020-10-25,IR,Iran (Islamic Republic of),EMRO,5814,562705,335,32320
2020-10-26,IR,Iran (Islamic Republic of),EMRO,6191,568896,296,32616
2020-10-27,IR,Iran (Islamic Republic of),EMRO,5960,574856,337,32953
2020-10-28,IR,Iran (Islamic Republic of),EMRO,6968,581824,346,33299
2020-10-29,IR,Iran (Islamic Republic of),EMRO,6824,588648,415,33714
2020-10-30,IR,Iran (Islamic Republic of),EMRO,8293,596941,399,34113
2020-10-31,IR,Iran (Islamic Republic of),EMRO,8011,604952,365,34478
2020-11-01,IR,Iran (Islamic Republic of),EMRO,7820,612772,386,34864
2020-11-02,IR,Iran (Islamic Republic of),EMRO,7719,620491,434,35298
2020-11-03,IR,Iran (Islamic Republic of),EMRO,8289,628780,440,35738
2020-11-04,IR,Iran (Islamic Republic of),EMRO,8932,637712,422,36160
2020-11-05,IR,Iran (Islamic Republic of),EMRO,8452,646164,419,36579
2020-11-06,IR,Iran (Islamic Republic of),EMRO,8772,654936,406,36985
2020-11-07,IR,Iran (Islamic Republic of),EMRO,8864,663800,424,37409
2020-11-08,IR,Iran (Islamic Republic of),EMRO,9450,673250,423,37832
2020-11-09,IR,Iran (Islamic Republic of),EMRO,9236,682486,459,38291
2020-11-10,IR,Iran (Islamic Republic of),EMRO,10463,692949,458,38749
2020-11-11,IR,Iran (Islamic Republic of),EMRO,10339,703288,453,39202
2020-11-12,IR,Iran (Islamic Republic of),EMRO,11780,715068,462,39664
2020-11-13,IR,Iran (Islamic Republic of),EMRO,11517,726585,457,40121
2020-11-14,IR,Iran (Islamic Republic of),EMRO,11737,738322,461,40582
2020-11-15,IR,Iran (Islamic Republic of),EMRO,11203,749525,452,41034
2020-11-16,IR,Iran (Islamic Republic of),EMRO,12543,762068,459,41493
2020-11-17,IR,Iran (Islamic Republic of),EMRO,13053,775121,486,41979
2020-11-18,IR,Iran (Islamic Republic of),EMRO,13352,788473,482,42461
2020-11-19,IR,Iran (Islamic Republic of),EMRO,13421,801894,480,42941
2020-11-20,IR,Iran (Islamic Republic of),EMRO,13223,815117,476,43417
2020-11-21,IR,Iran (Islamic Republic of),EMRO,13260,828377,479,43896
2020-11-22,IR,Iran (Islamic Republic of),EMRO,12931,841308,431,44327
2020-11-23,IR,Iran (Islamic Republic of),EMRO,13053,854361,475,44802
2020-11-24,IR,Iran (Islamic Republic of),EMRO,12460,866821,453,45255
2020-11-25,IR,Iran (Islamic Republic of),EMRO,13721,880542,483,45738
2020-11-26,IR,Iran (Islamic Republic of),EMRO,13843,894385,469,46207
2020-11-27,IR,Iran (Islamic Republic of),EMRO,13961,908346,482,46689
2020-11-28,IR,Iran (Islamic Republic of),EMRO,14051,922397,406,47095
2020-11-29,IR,Iran (Islamic Republic of),EMRO,13402,935799,391,47486
2020-11-30,IR,Iran (Islamic Republic of),EMRO,12950,948749,389,47875
2020-12-01,IR,Iran (Islamic Republic of),EMRO,13321,962070,371,48246
2020-12-02,IR,Iran (Islamic Republic of),EMRO,13881,975951,382,48628
2020-12-03,IR,Iran (Islamic Republic of),EMRO,13621,989572,362,48990
2020-12-04,IR,Iran (Islamic Republic of),EMRO,13922,1003494,358,49348
2020-12-05,IR,Iran (Islamic Republic of),EMRO,13341,1016835,347,49695
2020-12-06,IR,Iran (Islamic Republic of),EMRO,12151,1028986,321,50016
2020-12-07,IR,Iran (Islamic Republic of),EMRO,11561,1040547,294,50310
2020-12-08,IR,Iran (Islamic Republic of),EMRO,10827,1051374,284,50594
2020-12-09,IR,Iran (Islamic Republic of),EMRO,11023,1062397,323,50917
2020-12-10,IR,Iran (Islamic Republic of),EMRO,10223,1072620,295,51212
2020-12-11,IR,Iran (Islamic Republic of),EMRO,10403,1083023,284,51496
2020-12-12,IR,Iran (Islamic Republic of),EMRO,9594,1092617,232,51728
2020-12-13,IR,Iran (Islamic Republic of),EMRO,8201,1100818,221,51949
2020-12-14,IR,Iran (Islamic Republic of),EMRO,7451,1108269,247,52196
2020-12-15,IR,Iran (Islamic Republic of),EMRO,7501,1115770,251,52447
2020-12-16,IR,Iran (Islamic Republic of),EMRO,7704,1123474,223,52670
2020-12-17,IR,Iran (Islamic Republic of),EMRO,7603,1131077,213,52883
2020-12-18,IR,Iran (Islamic Republic of),EMRO,7453,1138530,212,53095
2020-12-19,IR,Iran (Islamic Republic of),EMRO,7121,1145651,178,53273
2020-12-20,IR,Iran (Islamic Republic of),EMRO,6421,1152072,175,53448
2020-12-21,IR,Iran (Islamic Republic of),EMRO,6312,1158384,177,53625
2020-12-22,IR,Iran (Islamic Republic of),EMRO,6151,1164535,191,53816
2020-12-23,IR,Iran (Islamic Republic of),EMRO,6208,1170743,187,54003
2020-12-24,IR,Iran (Islamic Republic of),EMRO,6261,1177004,153,54156
2020-12-25,IR,Iran (Islamic Republic of),EMRO,6178,1183182,152,54308
2020-12-26,IR,Iran (Islamic Republic of),EMRO,6021,1189203,132,54440
2020-12-27,IR,Iran (Islamic Republic of),EMRO,5760,1194963,134,54574
2020-12-28,IR,Iran (Islamic Republic of),EMRO,5502,1200465,119,54693
